Column,doid,label,disorder_qid,subclass_of,subclass_of_qid
386,obo.DOID_543,dystonia,Q906492,movement disorder,Q2608695
387,obo.DOID_0111153,Mirror movement disorder,Q6874652,movement disorder,Q2608695
388,obo.DOID_4990,essential tremor,Q693519,movement disorder,Q2608695
389,obo.DOID_12859,choreatic disease,Q1076421,movement disorder,Q2608695
390,obo.DOID_13366,Stiff-Person syndrome,Q1235785,movement disorder,Q2608695
391,obo.DOID_13839,extrapyramidal and movement disorder,Q18554618,movement disorder,Q2608695
392,obo.DOID_1713,benign shuddering attacks,Q18554881,movement disorder,Q2608695
393,obo.DOID_678,progressive supranuclear palsy,Q945930,movement disorder,Q2608695
394,obo.DOID_9854,lingual-facial-buccal dyskinesia,Q18558243,movement disorder,Q2608695
405,obo.DOID_10024,migraine with aura,Q18553762,migraine disorder,Q133823
406,obo.DOID_12783,migraine without aura,Q3724157,migraine disorder,Q133823
407,obo.DOID_10081,syphilitic encephalitis,Q18553778,encephalitis,Q199615
408,obo.DOID_13664,post-vaccinal encephalitis,Q18554576,encephalitis,Q199615
409,obo.DOID_5222,acute necrotizing encephalitis,Q18556684,encephalitis,Q199615
410,obo.DOID_5224,acute hemorrhagic encephalitis,Q18556685,encephalitis,Q199615
411,obo.DOID_5225,von Economo's disease,Q1369020,encephalitis,Q199615
412,obo.DOID_646,viral encephalitis,Q3053951,viral infectious disease,Q1928978
413,obo.DOID_10579,leukodystrophy,Q1821559,cerebral degeneration,Q1620193
414,obo.DOID_2367,neuroaxonal dystrophy,Q18555065,cerebral degeneration,Q1620193
415,obo.DOID_10742,cerebral lipidosis,Q18553924,cerebral degeneration,Q1620193
416,obo.DOID_10908,hydrocephalus,Q193003,cerebral degeneration,Q1620193
417,obo.DOID_14524,senile degeneration of brain,Q18554783,cerebral degeneration,Q1620193
418,obo.DOID_11459,pseudotumor cerebri,Q741208,intracranial hypertension,Q18558125
419,obo.DOID_9427,hypertensive encephalopathy,Q4138746,intracranial hypertension,Q18558125
420,obo.DOID_12550,hepatic coma,Q18554341,hepatic encephalopathy,Q642548
421,obo.DOID_13088,periventricular leukomalacia,Q469490,encephalomalacia,Q947813
422,obo.DOID_6676,Froelich syndrome,Q1276885,Hypothalamic disease,Q5961220
426,obo.DOID_0050953,X-linked cerebellar ataxia,Q21082499,hereditary  ataxia,Q3731293
428,obo.DOID_963,episodic ataxia,Q21503282,hereditary  ataxia,Q3731293
429,obo.DOID_0111170,autosomal dominant sensory ataxia 1,Q50349838,hereditary  ataxia,Q3731293
431,obo.DOID_14330,Parkinson disease,Q11085,synucleinopathy,Q16963368
432,obo.DOID_4752,multiple system atrophy,Q1541975,synucleinopathy,Q16963368
433,obo.DOID_2377,multiple sclerosis,Q8277,autoimmune disease of central nervous system,Q18553585
434,obo.DOID_0060215,Balo concentric sclerosis,Q1783645,demyelinating disease,Q1186703
435,obo.DOID_636,central pontine myelinolysis,Q190370,demyelinating disease,Q1186703
437,obo.DOID_0060266,pontocerebellar hypoplasia type 1B,Q18966146,non-syndromic pontocerebellar hypoplasia,Q1698867
439,obo.DOID_0060268,pontocerebellar hypoplasia type 2B,Q18966149,non-syndromic pontocerebellar hypoplasia,Q1698867
441,obo.DOID_0060270,pontocerebellar hypoplasia type 2D,Q18966152,non-syndromic pontocerebellar hypoplasia,Q1698867
444,obo.DOID_0060273,pontocerebellar hypoplasia type 4,Q18966155,non-syndromic pontocerebellar hypoplasia,Q1698867
445,obo.DOID_0060274,pontocerebellar hypoplasia type 5,Q18966156,non-syndromic pontocerebellar hypoplasia,Q1698867
446,obo.DOID_0060275,pontocerebellar hypoplasia type 6,Q18966158,non-syndromic pontocerebellar hypoplasia,Q1698867
447,obo.DOID_0060276,pontocerebellar hypoplasia type 7,Q18966160,non-syndromic pontocerebellar hypoplasia,Q1698867
448,obo.DOID_0060277,pontocerebellar hypoplasia type 8,Q18966161,non-syndromic pontocerebellar hypoplasia,Q1698867
449,obo.DOID_0060278,pontocerebellar hypoplasia type 9,Q18966162,non-syndromic pontocerebellar hypoplasia,Q1698867
450,obo.DOID_0060279,pontocerebellar hypoplasia type 10,Q18966164,non-syndromic pontocerebellar hypoplasia,Q1698867
452,obo.DOID_0110736,neurodegeneration with brain iron accumulation 2B,Q32140708,neurodegeneration with brain iron accumulation,Q16892735
453,obo.DOID_0110737,Adult-onset basal ganglia disease,Q3338664,neurodegeneration with brain iron accumulation,Q16892735
454,obo.DOID_0110738,neurodegeneration with brain iron accumulation 4,Q32140736,neurodegeneration with brain iron accumulation,Q16892735
455,obo.DOID_0110739,neurodegeneration with brain iron accumulation 5,Q32140749,neurodegeneration with brain iron accumulation,Q16892735
457,obo.DOID_3981,pantothenate kinase-associated neurodegeneration,Q1436162,neurodegeneration with brain iron accumulation,Q16892735
460,obo.DOID_681,progressive bulbar palsy,Q7248833,motor neuron disease,Q3221083
461,obo.DOID_0111552,scapuloperoneal spinal muscular atrophy,Q55950307,motor neuron disease,Q3221083
463,obo.DOID_230,lateral sclerosis,Q2881413,motor neuron disease,Q3221083
464,obo.DOID_318,progressive muscular atrophy,Q2279175,motor neuron disease,Q3221083
465,obo.DOID_683,motor neuritis,Q18557373,motor neuron disease,Q3221083
467,obo.DOID_14332,postencephalitic Parkinson disease,Q3508787,secondary parkinsonism,Q18554542
468,obo.DOID_0080159,cryptococcal meningitis,Q18967011,fungal meningitis,Q5509169
469,obo.DOID_12246,histoplasmosis meningitis,Q18554277,fungal meningitis,Q5509169
470,obo.DOID_0080176,meningococcal meningitis,Q7386479,bacterial meningitis,Q3678510
471,obo.DOID_0080179,Haemophilus meningitis,Q17119372,bacterial meningitis,Q3678510
472,obo.DOID_10073,syphilitic meningitis,Q3854684,bacterial meningitis,Q3678510
473,obo.DOID_11572,Listeria meningitis,Q18554110,bacterial meningitis,Q3678510
474,obo.DOID_11574,streptococcal meningitis,Q18554111,bacterial meningitis,Q3678510
475,obo.DOID_14559,anaerobic meningitis,Q18554795,bacterial meningitis,Q3678510
476,obo.DOID_10361,eosinophilic meningitis,Q18553849,chronic meningitis,Q18553843
477,obo.DOID_0050886,Troyer syndrome,Q3508706,hereditary spastic paraplegia,Q657516
478,obo.DOID_0060245,mast syndrome,Q18966121,hereditary spastic paraplegia,Q657516
479,obo.DOID_0060246,MASA syndrome,Q6714500,hereditary spastic paraplegia,Q657516
487,obo.DOID_0110770,hereditary spastic paraplegia 17,Q32142660,hereditary spastic paraplegia,Q657516
502,obo.DOID_0110785,hereditary spastic paraplegia 34,Q32142896,hereditary spastic paraplegia,Q657516
503,obo.DOID_0110786,hereditary spastic paraplegia 35,Q32142909,hereditary spastic paraplegia,Q657516
504,obo.DOID_0110787,hereditary spastic paraplegia 36,Q32142923,hereditary spastic paraplegia,Q657516
506,obo.DOID_0110789,hereditary spastic paraplegia 38,Q32142955,hereditary spastic paraplegia,Q657516
507,obo.DOID_0110790,hereditary spastic paraplegia 39,Q32142969,hereditary spastic paraplegia,Q657516
512,obo.DOID_0110795,hereditary spastic paraplegia 43,Q32143030,hereditary spastic paraplegia,Q657516
513,obo.DOID_0110796,hereditary spastic paraplegia 44,Q32143044,hereditary spastic paraplegia,Q657516
514,obo.DOID_0110797,hereditary spastic paraplegia 45,Q32143061,hereditary spastic paraplegia,Q657516
515,obo.DOID_0110798,hereditary spastic paraplegia 46,Q32143076,hereditary spastic paraplegia,Q657516
516,obo.DOID_0110799,hereditary spastic paraplegia 47,Q32143094,hereditary spastic paraplegia,Q657516
517,obo.DOID_0110800,hereditary spastic paraplegia 48,Q32143107,hereditary spastic paraplegia,Q657516
518,obo.DOID_0110801,hereditary spastic paraplegia 49,Q32143120,hereditary spastic paraplegia,Q657516
519,obo.DOID_0110802,hereditary spastic paraplegia 50,Q32143133,hereditary spastic paraplegia,Q657516
520,obo.DOID_0110803,hereditary spastic paraplegia 51,Q32143147,hereditary spastic paraplegia,Q657516
521,obo.DOID_0110804,hereditary spastic paraplegia 52,Q32143154,hereditary spastic paraplegia,Q657516
522,obo.DOID_0110805,hereditary spastic paraplegia 53,Q32143165,hereditary spastic paraplegia,Q657516
523,obo.DOID_0110806,hereditary spastic paraplegia 54,Q32143177,hereditary spastic paraplegia,Q657516
524,obo.DOID_0110807,hereditary spastic paraplegia 55,Q32143192,hereditary spastic paraplegia,Q657516
525,obo.DOID_0110808,hereditary spastic paraplegia 56,Q32143203,hereditary spastic paraplegia,Q657516
529,obo.DOID_0110812,hereditary spastic paraplegia 61,Q32143254,hereditary spastic paraplegia,Q657516
530,obo.DOID_0110813,hereditary spastic paraplegia 62,Q32143270,hereditary spastic paraplegia,Q657516
531,obo.DOID_0110814,hereditary spastic paraplegia 63,Q32143285,hereditary spastic paraplegia,Q657516
532,obo.DOID_0110815,hereditary spastic paraplegia 64,Q32143302,hereditary spastic paraplegia,Q657516
534,obo.DOID_0110817,hereditary spastic paraplegia 72,Q32143322,hereditary spastic paraplegia,Q657516
535,obo.DOID_0110818,hereditary spastic paraplegia 73,Q32143335,hereditary spastic paraplegia,Q657516
536,obo.DOID_0110819,hereditary spastic paraplegia 74,Q32143354,hereditary spastic paraplegia,Q657516
537,obo.DOID_0110820,hereditary spastic paraplegia 75,Q32143369,hereditary spastic paraplegia,Q657516
538,obo.DOID_0110821,autosomal recessive spastic paraplegia type 76,Q32143385,hereditary spastic paraplegia,Q657516
539,obo.DOID_0110822,hereditary spastic paraplegia 77,Q32143403,hereditary spastic paraplegia,Q657516
543,obo.DOID_10992,acute hemorrhagic leukoencephalitis,Q18966598,acute disseminated encephalomyelitis,Q424242
545,obo.DOID_0070146,hereditary sensory neuropathy type 4,Q50349712,hereditary sensory and autonomic neuropathy,Q3702898
547,obo.DOID_0070148,hereditary sensory neuropathy type 1B,Q50349714,hereditary sensory and autonomic neuropathy,Q3702898
548,obo.DOID_0070149,hereditary sensory and autonomic neuropathy type 7,Q50349715,hereditary sensory and autonomic neuropathy,Q3702898
553,obo.DOID_0070159,hereditary sensory neuropathy X-linked,Q50349725,hereditary sensory and autonomic neuropathy,Q3702898
554,obo.DOID_0070160,atypical hereditary sensory neuropathy,Q50349726,hereditary sensory and autonomic neuropathy,Q3702898
555,obo.DOID_11589,Riley-Day syndrome,Q2325854,hereditary sensory and autonomic neuropathy,Q3702898
556,obo.DOID_439,neuromuscular junction disease,Q7002430,neuromuscular disease,Q2246789
557,obo.DOID_10595,Charcot–Marie–Tooth disease,Q1052687,neuromuscular disease,Q2246789
558,obo.DOID_0050692,Brody myopathy,Q4973199,neuromuscular disease,Q2246789
559,obo.DOID_0060346,Native American myopathy,Q11781607,neuromuscular disease,Q2246789
560,obo.DOID_0111538,paramyotonia congenita,Q493103,neuromuscular disease,Q2246789
561,obo.DOID_913,atrophic muscular disease,Q18558067,neuromuscular disease,Q2246789
562,obo.DOID_0090068,giant axonal neuropathy 1,Q3338682,axonal neuropathy,Q18557549
563,obo.DOID_0090069,giant axonal neuropathy 2,Q30989381,axonal neuropathy,Q18557549
564,obo.DOID_0111729,familial episodic pain syndrome with predominantly upper body involvement,Q55784462,familial episodic pain syndrome,Q56014136
565,obo.DOID_0111730,"episodic pain syndrome, familial, 2",Q55784747,familial episodic pain syndrome,Q56014136
566,obo.DOID_0111731,familial episodic pain syndrome with predominantly lower limb involvement,Q55784748,familial episodic pain syndrome,Q56014136
567,obo.DOID_1187,tibial neuropathy,Q18554201,mononeuropathy,Q18554205
568,obo.DOID_12171,radial neuropathy,Q427118,mononeuropathy,Q18554205
569,obo.DOID_1802,mononeuritis,Q18554914,mononeuropathy,Q18554205
570,obo.DOID_4196,femoral neuropathy,Q18556225,mononeuropathy,Q18554205
571,obo.DOID_4201,peroneal neuropathy,Q18556226,mononeuropathy,Q18554205
572,obo.DOID_4613,ulnar neuropathy,Q7879711,mononeuropathy,Q18554205
573,obo.DOID_12785,diabetic polyneuropathy,Q4160985,diabetic neuropathy,Q2046550
574,obo.DOID_1279,ocular motility disease,Q18554378,cranial nerve disease,Q5182126
575,obo.DOID_1891,optic nerve disease,Q2879095,cranial nerve disease,Q5182126
576,obo.DOID_3817,cranial nerve palsy,Q18556080,cranial nerve disease,Q5182126
577,obo.DOID_562,third cranial nerve disease,Q18556902,cranial nerve disease,Q5182126
578,obo.DOID_561,trigeminal nerve disease,Q18556899,cranial nerve disease,Q5182126
579,obo.DOID_3418,glossopharyngeal nerve disease,Q18555926,cranial nerve disease,Q5182126
580,obo.DOID_1756,facial nerve disease,Q18554894,cranial nerve disease,Q5182126
581,obo.DOID_13864,trochlear nerve disease,Q18554621,cranial nerve disease,Q5182126
582,obo.DOID_560,jaw-winking syndrome,Q1476789,cranial nerve disease,Q5182126
583,obo.DOID_14183,alcoholic neuropathy,Q4062508,inflammatory and toxic neuropathy,Q18555110
584,obo.DOID_14184,polyneuropathy due to drug,Q18554707,inflammatory and toxic neuropathy,Q18555110
585,obo.DOID_14402,critical illness polyneuropathy,Q1140516,inflammatory and toxic neuropathy,Q18555110
587,obo.DOID_8681,paraneoplastic polyneuropathy,Q18558000,inflammatory and toxic neuropathy,Q18555110
588,obo.DOID_11486,Horner's syndrome,Q1126839,autonomic neuropathy,Q18554095
589,obo.DOID_11503,diabetic autonomic neuropathy,Q18554094,autonomic neuropathy,Q18554095
590,obo.DOID_14022,algoneurodystrophy,Q18554660,complex regional pain syndrome,Q1066311
592,obo.DOID_3222,causalgia,Q18555343,complex regional pain syndrome,Q1066311
593,obo.DOID_4307,polyradiculopathy,Q18556278,polyradiculoneuropathy,Q3395796
594,obo.DOID_5213,chronic inflammatory demyelinating polyradiculoneuropathy,Q1088030,polyradiculoneuropathy,Q3395796
595,obo.DOID_7441,chronic metabolic polyneuropathy,Q18557591,chronic polyneuropathy,Q18556683
596,obo.DOID_7825,chronic toxic polyneuropathy,Q18557744,chronic polyneuropathy,Q18556683
597,obo.DOID_0060690,autosomal dominant auditory neuropathy 1,Q28024508,autosomal dominant nonsyndromic deafness,Q18553309
598,obo.DOID_0080267,autosomal dominant nonsyndromic deafness 71,Q53661603,autosomal dominant nonsyndromic deafness,Q18553309
599,obo.DOID_0080268,autosomal dominant nonsyndromic deafness 72,Q53661604,autosomal dominant nonsyndromic deafness,Q18553309
600,obo.DOID_0080269,autosomal dominant nonsyndromic deafness 73,Q53661606,autosomal dominant nonsyndromic deafness,Q18553309
603,obo.DOID_0110542,autosomal dominant nonsyndromic deafness 10,Q28024669,autosomal dominant nonsyndromic deafness,Q18553309
610,obo.DOID_0110549,autosomal dominant nonsyndromic deafness 18,Q28024677,autosomal dominant nonsyndromic deafness,Q18553309
617,obo.DOID_0110556,autosomal dominant nonsyndromic deafness 27,Q28024684,autosomal dominant nonsyndromic deafness,Q18553309
620,obo.DOID_0110559,autosomal dominant nonsyndromic deafness 2B,Q28024687,autosomal dominant nonsyndromic deafness,Q18553309
621,obo.DOID_0110560,autosomal dominant nonsyndromic deafness 30,Q28024688,autosomal dominant nonsyndromic deafness,Q18553309
624,obo.DOID_0110563,autosomal dominant nonsyndromic deafness 36,Q28024691,autosomal dominant nonsyndromic deafness,Q18553309
627,obo.DOID_0110566,autosomal dominant nonsyndromic deafness 40,Q28024694,autosomal dominant nonsyndromic deafness,Q18553309
628,obo.DOID_0110567,autosomal dominant nonsyndromic deafness 41,Q28024695,autosomal dominant nonsyndromic deafness,Q18553309
629,obo.DOID_0110568,autosomal dominant nonsyndromic deafness 43,Q28024696,autosomal dominant nonsyndromic deafness,Q18553309
630,obo.DOID_0110569,autosomal dominant nonsyndromic deafness 44,Q28024697,autosomal dominant nonsyndromic deafness,Q18553309
631,obo.DOID_0110570,autosomal dominant nonsyndromic deafness 47,Q28024698,autosomal dominant nonsyndromic deafness,Q18553309
632,obo.DOID_0110571,autosomal dominant nonsyndromic deafness 48,Q28024699,autosomal dominant nonsyndromic deafness,Q18553309
633,obo.DOID_0110572,autosomal dominant nonsyndromic deafness 49,Q28024701,autosomal dominant nonsyndromic deafness,Q18553309
635,obo.DOID_0110574,autosomal dominant nonsyndromic deafness 4B,Q28024703,autosomal dominant nonsyndromic deafness,Q18553309
638,obo.DOID_0110577,autosomal dominant nonsyndromic deafness 51,Q28024706,autosomal dominant nonsyndromic deafness,Q18553309
639,obo.DOID_0110578,autosomal dominant nonsyndromic deafness 52,Q28024707,autosomal dominant nonsyndromic deafness,Q18553309
640,obo.DOID_0110579,autosomal dominant nonsyndromic deafness 53,Q28024708,autosomal dominant nonsyndromic deafness,Q18553309
641,obo.DOID_0110580,autosomal dominant nonsyndromic deafness 54,Q28024709,autosomal dominant nonsyndromic deafness,Q18553309
642,obo.DOID_0110581,autosomal dominant nonsyndromic deafness 56,Q28024710,autosomal dominant nonsyndromic deafness,Q18553309
643,obo.DOID_0110582,autosomal dominant nonsyndromic deafness 58,Q28024711,autosomal dominant nonsyndromic deafness,Q18553309
644,obo.DOID_0110583,autosomal dominant nonsyndromic deafness 59,Q28024713,autosomal dominant nonsyndromic deafness,Q18553309
646,obo.DOID_0110585,autosomal dominant nonsyndromic deafness 64,Q28024715,autosomal dominant nonsyndromic deafness,Q18553309
647,obo.DOID_0110586,autosomal dominant nonsyndromic deafness 65,Q28024716,autosomal dominant nonsyndromic deafness,Q18553309
648,obo.DOID_0110587,autosomal dominant nonsyndromic deafness 66,Q28024717,autosomal dominant nonsyndromic deafness,Q18553309
649,obo.DOID_0110588,autosomal dominant nonsyndromic deafness 67,Q28024718,autosomal dominant nonsyndromic deafness,Q18553309
650,obo.DOID_0110589,autosomal dominant nonsyndromic deafness 68,Q28024719,autosomal dominant nonsyndromic deafness,Q18553309
651,obo.DOID_0110590,autosomal dominant nonsyndromic deafness 69,Q28024720,autosomal dominant nonsyndromic deafness,Q18553309
653,obo.DOID_0110592,autosomal dominant nonsyndromic deafness 70,Q28024722,autosomal dominant nonsyndromic deafness,Q18553309
655,obo.DOID_0080261,autosomal recessive nonsyndromic deafness 106,Q53661596,autosomal recessive nonsyndromic deafness,Q18553310
656,obo.DOID_0080262,autosomal recessive nonsyndromic deafness 107,Q53661597,autosomal recessive nonsyndromic deafness,Q18553310
657,obo.DOID_0080263,autosomal recessive nonsyndromic deafness 108,Q53661598,autosomal recessive nonsyndromic deafness,Q18553310
658,obo.DOID_0110462,autosomal recessive nonsyndromic deafness 101,Q28024587,autosomal recessive nonsyndromic deafness,Q18553310
659,obo.DOID_0110463,autosomal recessive nonsyndromic deafness 102,Q28024588,autosomal recessive nonsyndromic deafness,Q18553310
660,obo.DOID_0110464,autosomal recessive nonsyndromic deafness 103,Q28024589,autosomal recessive nonsyndromic deafness,Q18553310
661,obo.DOID_0110465,autosomal recessive nonsyndromic deafness 104,Q28024590,autosomal recessive nonsyndromic deafness,Q18553310
669,obo.DOID_0110474,autosomal recessive nonsyndromic deafness 18B,Q28024599,autosomal recessive nonsyndromic deafness,Q18553310
671,obo.DOID_0110476,autosomal recessive nonsyndromic deafness 1B,Q28024601,autosomal recessive nonsyndromic deafness,Q18553310
681,obo.DOID_0110486,autosomal recessive nonsyndromic deafness 28,Q28024612,autosomal recessive nonsyndromic deafness,Q18553310
682,obo.DOID_0110487,autosomal recessive nonsyndromic deafness 29,Q28024614,autosomal recessive nonsyndromic deafness,Q18553310
684,obo.DOID_0110489,autosomal recessive nonsyndromic deafness 30,Q28024616,autosomal recessive nonsyndromic deafness,Q18553310
687,obo.DOID_0110492,autosomal recessive nonsyndromic deafness 33,Q28024619,autosomal recessive nonsyndromic deafness,Q18553310
688,obo.DOID_0110493,autosomal recessive nonsyndromic deafness 35,Q28024620,autosomal recessive nonsyndromic deafness,Q18553310
690,obo.DOID_0110495,autosomal recessive nonsyndromic deafness 37,Q28024622,autosomal recessive nonsyndromic deafness,Q18553310
691,obo.DOID_0110496,autosomal recessive nonsyndromic deafness 38,Q28024623,autosomal recessive nonsyndromic deafness,Q18553310
692,obo.DOID_0110497,autosomal recessive nonsyndromic deafness 39,Q28024624,autosomal recessive nonsyndromic deafness,Q18553310
694,obo.DOID_0110499,autosomal recessive nonsyndromic deafness 40,Q28024626,autosomal recessive nonsyndromic deafness,Q18553310
695,obo.DOID_0110500,autosomal recessive nonsyndromic deafness 42,Q28024627,autosomal recessive nonsyndromic deafness,Q18553310
697,obo.DOID_0110502,autosomal recessive nonsyndromic deafness 45,Q28024629,autosomal recessive nonsyndromic deafness,Q18553310
698,obo.DOID_0110503,autosomal recessive nonsyndromic deafness 46,Q28024630,autosomal recessive nonsyndromic deafness,Q18553310
699,obo.DOID_0110504,autosomal recessive nonsyndromic deafness 47,Q28024631,autosomal recessive nonsyndromic deafness,Q18553310
700,obo.DOID_0110505,autosomal recessive nonsyndromic deafness 48,Q28024632,autosomal recessive nonsyndromic deafness,Q18553310
701,obo.DOID_0110506,autosomal recessive nonsyndromic deafness 49,Q28024633,autosomal recessive nonsyndromic deafness,Q18553310
703,obo.DOID_0110508,autosomal recessive nonsyndromic deafness 51,Q28024635,autosomal recessive nonsyndromic deafness,Q18553310
704,obo.DOID_0110509,autosomal recessive nonsyndromic deafness 53,Q28024636,autosomal recessive nonsyndromic deafness,Q18553310
705,obo.DOID_0110510,autosomal recessive nonsyndromic deafness 55,Q28024637,autosomal recessive nonsyndromic deafness,Q18553310
706,obo.DOID_0110511,autosomal recessive nonsyndromic deafness 59,Q28024638,autosomal recessive nonsyndromic deafness,Q18553310
708,obo.DOID_0110513,autosomal recessive nonsyndromic deafness 61,Q28024640,autosomal recessive nonsyndromic deafness,Q18553310
709,obo.DOID_0110514,autosomal recessive nonsyndromic deafness 62,Q28024641,autosomal recessive nonsyndromic deafness,Q18553310
710,obo.DOID_0110515,autosomal recessive nonsyndromic deafness 63,Q28024642,autosomal recessive nonsyndromic deafness,Q18553310
712,obo.DOID_0110517,autosomal recessive nonsyndromic deafness 66,Q28024644,autosomal recessive nonsyndromic deafness,Q18553310
713,obo.DOID_0110518,autosomal recessive nonsyndromic deafness 67,Q28024645,autosomal recessive nonsyndromic deafness,Q18553310
714,obo.DOID_0110519,autosomal recessive nonsyndromic deafness 68,Q28024646,autosomal recessive nonsyndromic deafness,Q18553310
716,obo.DOID_0110521,autosomal recessive nonsyndromic deafness 70,Q28024648,autosomal recessive nonsyndromic deafness,Q18553310
717,obo.DOID_0110522,autosomal recessive nonsyndromic deafness 71,Q28024649,autosomal recessive nonsyndromic deafness,Q18553310
718,obo.DOID_0110523,autosomal recessive nonsyndromic deafness 74,Q28024650,autosomal recessive nonsyndromic deafness,Q18553310
719,obo.DOID_0110524,autosomal recessive nonsyndromic deafness 76,Q28024651,autosomal recessive nonsyndromic deafness,Q18553310
720,obo.DOID_0110525,autosomal recessive nonsyndromic deafness 77,Q28024652,autosomal recessive nonsyndromic deafness,Q18553310
721,obo.DOID_0110526,autosomal recessive nonsyndromic deafness 79,Q28024653,autosomal recessive nonsyndromic deafness,Q18553310
723,obo.DOID_0110528,autosomal recessive nonsyndromic deafness 83,Q28024655,autosomal recessive nonsyndromic deafness,Q18553310
725,obo.DOID_0110530,autosomal recessive nonsyndromic deafness 84B,Q28024657,autosomal recessive nonsyndromic deafness,Q18553310
726,obo.DOID_0110531,autosomal recessive nonsyndromic deafness 85,Q28024658,autosomal recessive nonsyndromic deafness,Q18553310
727,obo.DOID_0110532,autosomal recessive nonsyndromic deafness 86,Q28024659,autosomal recessive nonsyndromic deafness,Q18553310
728,obo.DOID_0110533,autosomal recessive nonsyndromic deafness 88,Q28024660,autosomal recessive nonsyndromic deafness,Q18553310
729,obo.DOID_0110534,autosomal recessive nonsyndromic deafness 89,Q28024661,autosomal recessive nonsyndromic deafness,Q18553310
731,obo.DOID_0110536,autosomal recessive nonsyndromic deafness 91,Q28024663,autosomal recessive nonsyndromic deafness,Q18553310
732,obo.DOID_0110537,autosomal recessive nonsyndromic deafness 93,Q28024664,autosomal recessive nonsyndromic deafness,Q18553310
733,obo.DOID_0110538,autosomal recessive nonsyndromic deafness 96,Q28024665,autosomal recessive nonsyndromic deafness,Q18553310
734,obo.DOID_0110539,autosomal recessive nonsyndromic deafness 97,Q28024666,autosomal recessive nonsyndromic deafness,Q18553310
735,obo.DOID_0110540,autosomal recessive nonsyndromic deafness 98,Q28024667,autosomal recessive nonsyndromic deafness,Q18553310
748,obo.DOID_0111736,X-linked nonsyndromic deafness,Q18553311,X-linked nonsyndromic deafness,Q18553311
752,obo.DOID_0111740,"Deafness, X-linked 6",Q70209517,X-linked nonsyndromic deafness,Q18553311
753,obo.DOID_0111734,mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure,Q55782752,drug-induced hearing loss,Q60195183
755,obo.DOID_0111759,DFNY1,Q55782712,DFNY1,Q55782712
756,obo.DOID_0050332,enlarged vestibular aqueduct,Q2241556,vestibular disease,Q16678483
757,obo.DOID_9847,peripheral vertigo,Q18558240,vestibular disease,Q16678483
760,obo.DOID_14165,bilateral hyperactive labyrinth,Q18554700,labyrinthine dysfunction,Q18556927
761,obo.DOID_14413,labyrinthine bilateral reactive loss,Q18554754,labyrinthine dysfunction,Q18556927
762,obo.DOID_1776,labyrinthine unilateral reactive loss,Q18554900,labyrinthine dysfunction,Q18556927
763,obo.DOID_1777,unilateral hyperactive labyrinth,Q18554901,labyrinthine dysfunction,Q18556927
764,obo.DOID_565,bilateral hypoactive labyrinth,Q18556924,labyrinthine dysfunction,Q18556927
765,obo.DOID_9496,unilateral hypoactive labyrinth,Q18558140,labyrinthine dysfunction,Q18556927
766,obo.DOID_1468,labyrinthitis,Q2038371,otitis interna,Q7108870
767,obo.DOID_4796,space motion sickness,Q1365937,motion sickness,Q309067
769,obo.DOID_10852,middle ear cholesterol granuloma,Q18553957,otitis media,Q223254
771,obo.DOID_11217,chronic tympanitis,Q18554035,tympanic membrane disease,Q18557008
772,obo.DOID_1214,tympanosclerosis,Q2199494,tympanic membrane disease,Q18557008
773,obo.DOID_12546,atrophic nonflaccid tympanic membrane,Q18554339,tympanic membrane disease,Q18557008
774,obo.DOID_13790,acute tympanitis,Q18554600,tympanic membrane disease,Q18557008
775,obo.DOID_13791,myringitis bullosa hemorrhagica,Q10330658,tympanic membrane disease,Q18557008
776,obo.DOID_5781,atrophic flaccid tympanic membrane,Q18557007,tympanic membrane disease,Q18557008
777,obo.DOID_12683,vestibular neuronitis,Q1571398,vestibulocochlear nerve disease,Q18554357
778,obo.DOID_0050147,otomycosis,Q560456,otitis externa,Q680873
779,obo.DOID_10516,malignant otitis externa,Q3887112,otitis externa,Q680873
780,obo.DOID_10518,swimmer's ear,Q9364346,otitis externa,Q680873
781,obo.DOID_10520,acute infection of pinna,Q18553879,otitis externa,Q680873
782,obo.DOID_222,perichondritis of auricle,Q2070842,otitis externa,Q680873
783,obo.DOID_10525,double pterygium,Q18553880,pterygium,Q1862972
784,obo.DOID_10526,conjunctival pterygium,Q18966403,pterygium,Q1862972
785,obo.DOID_0060440,epithelial and subepithelial dystrophy,Q21154080,corneal dystrophy,Q2044949
786,obo.DOID_0060441,epithelial-stromal TGFBI dystrophy,Q21154081,corneal dystrophy,Q2044949
787,obo.DOID_0060442,stromal dystrophy,Q21154082,corneal dystrophy,Q2044949
789,obo.DOID_11554,Chandler syndrome,Q18554106,corneal dystrophy,Q2044949
790,obo.DOID_0080158,herpes simplex virus keratitis,Q1258984,keratitis,Q757838
791,obo.DOID_0111383,autosomal dominant keratitis,Q55781158,keratitis,Q757838
792,obo.DOID_8463,corneal ulcer,Q1628473,keratitis,Q757838
793,obo.DOID_11382,corneal neovascularization,Q1266519,keratitis,Q757838
794,obo.DOID_9858,deep keratitis,Q18558244,keratitis,Q757838
795,obo.DOID_11871,macular keratitis,Q18554202,keratitis,Q757838
796,obo.DOID_12196,superficial keratitis,Q18554266,keratitis,Q757838
797,obo.DOID_13626,photokeratitis,Q829876,keratitis,Q757838
